Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP124394	1.97426703142409	0	17463	8618	1.93562452669131	2.08533049082272	0.14970596413141	6541	10922	158762	62262	96500	4.179518773986e-07	7.61269490976022e-07	3	A3A
SP124329	1.97327480708366	0	8551	4218	1.90580442258509	2.10581548011989	0.2000110575348	3166	5385	78600	30953	47647	2.30059523093564e-06	3.91101189259059e-06	3	A3A
SP124369	1.96871095200244	0	22716	11177	1.96181083793465	2.0601024769412	0.09829163900655	8634	14082	210517	82453	128064	0.000153670511031092	0.00023394615112196	3	A3A
SP124367	1.95348320496813	0	23826	11629	1.84721069130156	2.10899981408327	0.26178912278171	8567	15259	235304	91914	143390	2.39495930204602e-25	1.62857232539129e-24	3	A3A
SP124462	1.95211469241859	0	18001	8780	1.95476515053098	2.03812187076186	0.0833567202308798	6851	11150	170899	66733	104166	0.00403882223722307	0.00549279824262338	3	A3A
SP83312	1.95125192158904	0	8834	4307	1.83940512022957	2.10866904104685	0.26926392081728	3183	5651	86805	34059	52746	6.50749203085242e-11	2.01140662771802e-10	2	A3A
SP124406	1.94747912750968	0	10890	5298	1.84297481868122	2.1018476587929	0.25887284011168	3906	6984	110441	43010	67431	3.47802849085143e-12	1.31392187432165e-11	2	A3A
SP83482	1.93900915645784	0	10397	5035	1.81408522112974	2.1024570771831	0.28837185605336	3678	6719	103024	39990	63034	2.49228544877091e-14	1.10527441641145e-13	2	A3A
SP103866	1.93584652977105	0	14531	7025	1.93087804347984	2.025126889545	0.09424884606516	5535	8996	141391	55455	85936	0.00326234175953181	0.00449674134421952	2	A3A
SP104530	1.93324152385641	0	9988	4822	1.82362096808706	2.09112855600109	0.26750758791403	3615	6373	106830	42102	64728	3.97767367085159e-12	1.44900969438165e-11	2	A3A
